back	назад, обратно, сзади, позади
backwards	назад, обратно
bad	плохой
badly	плохо
bag	сумка
balance	весы, равновесие, баланс
ball	шар, мяч
band	оркестр, лента, полоса
bang	удар, стук
bang	ударять, хлопать
bank	банк, берег
bar	бар, брусок, барьер
base	база, базис, основа, основание
basic	составляющий основу, основной
basically	в своей основе; по существу
basis	базис, основа, основание
bath	ванна
battery	батарея, аккамулятор
be	быть
bear	терпеть, выносить
beat	бить, колотить
beautiful	красивый
because	потому что, так как
become	становиться
before	перед, до, раньше
before	впереди, вперед, прежде
before	прежде чем, до того как
begin	начинать (ся)
beginning	начало
behave	вести себя, поступать
behaviour	поведение
behind	сзади, позади, после, за
behind	задний
belief	вера, доверие
believe	верить, полагать
belong	принадлежать, соответствовать
below	ниже, внизу, под
bend	сгибать (ся), гнуть (ся)
beneath	под, ниже, внизу
benefit	выгода, прибыль
beside	рядом с, возле, около
best	лучший, наилучший
best	лучше всего, больше всего
bet	пари
bet	держать пари
better	лучший, наилучший
better	лучше
between	между
beyond	за, по ту сторону, за пределами
big	большой
bill	счет
bin	ящик
birth	рождение
birthday	день рождения
bit	кусочек
bite	укус
179. bite	кусать (ся)
black	черный
black	черный цвет
blame	упрек, осуждение
blame	осуждать
blind	слепой, ослепленный
block	блок, квартал
block	заграждать, блокировать
blow	веять, дуть
blue	голубой, синий
board	доска
boat	лодка, судно
body	тело
boil	варить (ся), кипятить (ся)
book	книга
book	вносить в книгу, регистрировать
border	граница
bored	скучающий
boring	скучный
born	родившийся
borrow	одалживать, занимать
both	оба, обе
bother	беспокоить(ся), надоедать
bottom	дно, низ
bottom	нижний
bound	связанный
brain	мозг, интеллект
branch	ветвь, отрасль
brave	смелый, храбрый
bread	хлеб
break 	перерыв, разрыв
break	ломать, разрушать
break down	разрушать, разбивать на кусочки
break in	вламываться, врываться
break into	вламываться, внезапно начинать
break out	выламывать, вспыхивать
break through	прорваться, пробиться
break up	крошиться на мелкие части
breakfast	завтрак
breath	дыхание, вздох
breathe	дышать
bridge	мост
brief	короткий, недолгий
bright	яркий
bring	приносить, привозить
bring back	приносить обратно, возвращать
bring down	свалить, снизить (цену)
bring forward	выдвигать (предложение)
bring up	приводить, приносить наверх
broad	широкий
broken	разбитый, сломанный
brother	брат
brown	коричневый, бурый
brush	щетка
brush	чистить щеткой, причесывать
build	строить
building	здание, сооружение
bunch	связка, пучек
burn	гореть, пылать
burst	лопаться, взрываться
bury	хоронить, закапывать
bus	автобус
bush	куст
business	дело, занятие
busy	занятой, деятельный
but	а, но, однако
but	кроме, за исключением, исключая
butter	масло
buy	покупать
by	у, при, около, возле, рядом с
by	близко, возле, около, рядом
bye		до свидания
