man	[mæn]	человек, мужчина
woman	[‘wumən]	женщина
body	[‘bɔdɪ]	тело
head	[hed]	голова
shoulder	[‘ʃəuldə]	плечо
arm	[ɑːm]	рука
hand	[hænd]	рука (кисть)
elbow	[‘elbəu]	локоть
chest	[ʧest]	грудная клетка
stomach	[‘stʌmək]	живот, желудок
back	[bæk]	спина
bottom	[‘bɔtəm]	зад
thigh	[θaɪ]	бедро
waist	[weɪst]	талия
leg	[leg]	нога
knee	[niː]	колено
calf (calves)	[kɑːf] [kɑːvz]	икра (икры ног)
foot (feet)	[fut] [fiːt]	ступня (ступни)
ankle	[‘æŋkl]	лодыжка
heel	[hiːl]	пятка
thumb	[θʌm]	большой палец
ring finger	[rɪŋ ‘fɪŋgə]	безымянный палец
middle finger	[‘mɪdl ‘fɪŋgə]	средний палец
index finger	[‘ɪndeks ‘fɪŋgə]	указательный палец
little finger	[‘lɪtl ‘fɪŋgə]	мизинец
fingernail	[‘fɪŋgəneɪl]	ноготь
shin	[ʃɪn]	голень
toe	[təu]	палец ноги
toenail	[‘təuneɪl]	ноготь на пальце ноги
neck	[nek]	шея
face	[feɪs]	лицо
nose	[nəuz]	нос
mouth	[mauθ]	рот
lip(s)	[lɪp]	губа, губы
tooth (teeth)	[tuːθ] [tiːθ]	зуб, зубы
tongue	[tʌŋ]	язык
eye(s)	[aɪ]	глаз, глаза
eyebrow	[‘aɪbrau]	бровь
eyelash	[‘aɪlæʃ]	ресница
pupil	[‘pjuːp(ə)l]	зрачок
eyelid	[‘aɪlɪd]	веко
chin	[ʧɪn]	подбородок
cheek	[ʧiːk]	щека
forehead	[‘fɔːhed]	лоб
hair	[heə]	волосы
hairy	[‘heərɪ]	волосатый
bald	[bɔːld]	лысый
moustache	[mə’stɑːʃ]	усы
beard	[bɪəd]	борода
family	[‘fæm(ə)lɪ]	семья
mother	[‘mʌðə]	мама
father	[‘fɑːðə]	папа
parents	[‘peər(ə)nts]	родители
son	[sʌn]	сын
daughter	[‘dɔːtə]	дочь
children	[‘ʧɪldr(ə)n]	дети
sister	[‘sɪstə]	сестра
brother	[‘brʌðə]	брат
grandmother	[‘græn(d)ˌmʌðə]	бабушка
grandfather	[‘græn(d)ˌfɑːðə]	дедушка
grandparents	[‘græn(d)ˌpeər(ə)nts]	дедушка и бабушка
great-grandmother	[greɪt-‘græn(d)ˌmʌðə]	прабабушка
great-grandfather	[ˌgreɪt’grændˌfɑːðə]	прадедушка
grandson	[‘græn(d)sʌn]	внук
granddaughter	[‘græn(d)ˌdɔːtə]	внучка
aunt	[ɑːnt]	тётя
uncle	[‘ʌŋkl]	дядя
niece	[niːs]	племянница
nephew	[‘nefjuː]	племянник
appearance	[ə’pɪər(ə)n(t)s]	внешность
thin	[θɪn]	худой
fat	[fæt]	толстый
tall	[tɔːl]	высокий
short	[ʃɔːt]	невысокий
weak	[wiːk]	слабый
strong	[strɔŋ]	сильный
slim	[slɪm]	стройный
plump	[plʌmp]	полный
skinny	[ˈskɪnɪ]	тощий
old	[əuld]	старый
young	[jʌŋ]	молодой
hairy	[‘heərɪ]	волосатый
bald	[bɔːld]	лысый
curly	[ˈkɜːlɪ]	кудрявый
straight	[streɪt]	прямые
pretty	[ˈprɪtɪ]	красивая
handsome	[ˈhæn(d)səm]	красивый
ugly	[ˈʌɡlɪ]	уродливый
character	[‘kærəktə]	характер
clever	[‘klevə]	умный
talented	[‘tæləntɪd]	талантливый
active	[ˈæktɪv]	активный
creative	[krɪˈeɪtɪv]	творческий
energetic	[ˌɛnəˈdʒɛtɪk]	энергичный
stupid	[‘stjuːpɪd]	глупый
considerate	[kən’sɪd(ə)rət]	внимательный
cruel	[‘kruːəl]	жестокий
unkind	[ʌn’kaɪnd]	злой
polite	[pə’laɪt]	вежливый
rude	[ruːd]	грубый
kind	[kaɪnd]	добрый
tactful	[ˈtæktf(ə)l]	тактичный
married	[ˈmærɪd]	женатый, замужняя
single	[ˈsɪŋɡ(ə)l]	холостяк, незамужняя
generous	[‘ʤen(ə)rəs]	щедрый
greedy	[‘griːdɪ]	жадный
rich	[rɪtʃ]	богатый, состоятельный
poor	[pʊə]	бедный, малоимущий
sense	[sen(t)s]	чувство
taste	[teɪst]	вкус
sight	[saɪt]	зрение
smell	[smel]	обоняние
touch	[tʌʧ]	осязание
hearing	[‘hɪərɪŋ]	слух
glimpse	[glɪmps]	беглый взгляд
scan	[skæn]	высматривать
see	[siː]	видеть
notice	[‘nəutɪs]	замечать
glance	[glɑːn(t)s]	мельком взглянуть
observe	[əb’zɜːv]	наблюдать
listen	[‘lɪs(ə)n]	слушать
hear	[hɪə]	слышать
watch	[wɔʧ]	смотреть
look	[luk]	взгляд
stare	[steə]	пристально глядеть
overhear	[ˌəuvə’hɪə]	подслушивать
delicious	[dɪ’lɪʃəs]	очень вкусный
emotion	[ɪ’məuʃ(ə)n]	эмоция
mischievous	[‘mɪsʧɪvəs]	озорной, непослушный
ecstatic	[ɪk’stætɪk]	восторженный
content	[kən’tent]	довольный
bored	[bɔːd]	скучающий
shocked	[ʃɔkd]	в состоянии шока
offended	[əˈfɛndɪd]	обиженный
confident	[‘kɔnfɪd(ə)nt]	самоуверенный
happy	[‘hæpɪ]	счастливый
hopeful	[‘həupf(ə)l]	надеющийся
curious	[‘kjuərɪəs]	любопытный
excited	[ɪk’saɪtɪd]	взволнованный
lonely	[‘ləunlɪ]	одинокий
nervous	[‘nɜːvəs]	нервный
goofy	[‘guːfɪ]	бестолковый, глупый
scared	[skeəd]	испуганный
sad	[sæd]	грустный, печальный
hungry	[‘hʌŋgrɪ]	голодный
thirsty	[‘θɜːstɪ]	испытывающий жажду
tired	[‘taɪəd]	уставший
sleepy	[‘sliːpɪ]	сонный
surprised	[sə’praɪzd]	удивленный
piece	[piːs]	монета
coin	[kɔɪn]	монета
one p coin	[wʌn pi: kɔɪn]	1 пенс
a penny	[ə’penɪ]	1 пенс
twopence	[‘tʌp(ə)n(t)s]	2 пенса
a twopenny	[ə’tʌp(ə)nɪ]	2 пенса
a fivepenny piece	[ə’faɪvpenɪ piːs]	5 пенсов
five p	[faɪv piː]	5 пенсов
a tenpenny piece	[ə’tenpenɪ piːs]	10 пенсов
ten p	[ten piː]	10 пенсов
a twenty pence coin	[ə’twentɪ pen(t)s kɔɪn]	20 пенсов
twenty p	[‘twentɪ piː]	20 пенсов
a fifty pence piece	[ə’fɪftɪ pen(t)s piːs]	50 пенсов
fifty p	[‘fɪftɪ piː]	50 пенсов
a pound	[ə paund]	1 фунт
quid	[kwɪd]	соверен, фунт (стерлингов)
five pounds (quid)	[faɪv paundz(kwɪd)]	5 фунтов
a fiver	[‘faɪvə]	5 фунтов
ten pounds (quid)	[ten paundz(kwɪd)]	10 фунтов
a tenner	[‘tenə]	10 фунтов
twenty pounds (quid)	[‘twentɪ paundz(kwɪd)]	20 фунтов
fifty pounds (quid)	[‘fɪftɪ paundz(kwɪd)]	50 фунтов
one cent	[wʌn sent]	1 цент
a penny	[ə’penɪ]	1 цент
five cents	[faɪv sents]	5 центов
a nickel	[ə’nɪkl]	5 центов
ten cents	[ten sents]	10 центов
a dime	[ə daɪm]	10 центов
twenty-five cents	[‘twentɪ faɪv sents]	25 центов
a quarter	[ə’kwɔːtə]	25 центов
a half-dollar	[ə hɑːf ‘dɔlə]	50 центов
one dollar	[wʌn ‘dɔlə]	1 доллар
two dollar	[tuː’dɔlə]	2 доллара
five dollar	[faɪv ‘dɔlə]	5 долларов
ten dollar	[ten ‘dɔlə]	10 долларов
twenty dollar	[‘twentɪ ‘dɔlə]	20 долларов
fifty dollar	[‘fɪftɪ ‘dɔlə]	50 долларов
hundred dollar	[‘hʌndrəd ‘dɔlə]	100 долларов
aquamarine	[ ˌækwəməˈriːn ]	аквамарин
beige	[ beɪʒ ]	бежевый
snowy, snow-white	[ ˈsnəʊɪ ] [ ˈsnəʊ waɪt ]	белоснежный
white	[ waɪt ]	белый
turquoise	[ ˈtɜːkwɔɪz ]	бирюзовый
pale	[ peɪl ]	бледный
wine red, bordeaux, claret red	[ waɪn red ] [ bɔːˈdəʊ ] [ ˈklærət red ]	бордовый
bronze	[ brɒnz ]	бронзовый
yellow green	[ ˈjeləʊ ɡriːn ]	желто-зеленый
yellow	[ ˈjeləʊ ]	желтый
